Block	Row	Column	ID	Name	M C7H2 2h Dex vs C7H2 2h EtOH	M C7H2 6h Dex vs C7H2 6h EtOH	M C7H2 12h Dex vs C7H2 12h EtOH	M C7H2 24h Dex vs C7H2 24h EtOH	A C7H2 2h Dex vs C7H2 2h EtOH	A C7H2 6h Dex vs C7H2 6h EtOH	A C7H2 12h Dex vs C7H2 12h EtOH	A C7H2 24h Dex vs C7H2 24h EtOH	C7H2 2h Dex vs C7H2 2h EtOH	C7H2 6h Dex vs C7H2 6h EtOH	C7H2 12h Dex vs C7H2 12h EtOH	C7H2 24h Dex vs C7H2 24h EtOH	w.2h	w.6h	w.12h	w.24h
1	 2	14	BA10201	hsa_miR_211	0.32915887908365	-0.164407240236301	-0.0233235971110997	0.373586843571788	8.19412489905881	7.43588318615859	7.37583465591104	7.57400679807597	FALSE	FALSE	FALSE	FALSE	2	0	0	0
1	 2	15	BA10237	hsa_miR_30a_3p	0.00335348246877132	-0.717357119125597	-0.755134635278356	0.161007009089888	7.62834196931892	8.03238543541067	7.46639387567646	7.43719676201346	FALSE	FALSE	FALSE	FALSE	0	4	2	0
1	 2	16	BA10173	hsa_miR_188	0.0132085372936572	0.125229459753117	0.130152218988176	0.022994489309192	8.038596692505	7.85242001767462	7.7374321144616	7.85889382215457	FALSE	FALSE	FALSE	FALSE	2	4	4	2
1	 2	17	BA10239	hsa_miR_30b	0.459500138943257	0.313410357825322	-0.178958110189246	0.341619606284310	8.09392292682712	7.85847751801367	8.16182808976045	8.33924611640189	FALSE	FALSE	FALSE	FALSE	4	2	4	4
1	 2	18	BA10252	hsa_miR_328	0.122631301983739	0.273527086277676	-0.111686434557098	0.194512122607755	7.84645104998037	7.50098954822104	7.34243010962179	7.51092741342094	FALSE	FALSE	FALSE	FALSE	4	0	0	2
1	 2	19	BA10277	hsa_miR_374	0.106410129798522	0.539078377397386	-0.0872916203953995	0.0877179440486628	7.48185540733915	7.71827285955964	7.39578677447364	7.45074956763285	FALSE	FALSE	FALSE	FALSE	0	2	0	0
1	 2	20	BA10258	hsa_miR_338	0.138844659195044	-0.244400776975449	0.00159587806193251	0.233299192087503	7.8763746016193	7.62597685579458	7.50501225006626	7.84044952518373	FALSE	FALSE	FALSE	FALSE	4	2	2	2
1	 2	21	BA10151	hsa_miR_150	0.183553872523150	0.0249287473800237	-0.268549501026575	4.84168095695736e-05	7.76731556541551	7.59058493330789	7.77000626446547	8.09241346304936	FALSE	FALSE	FALSE	FALSE	2	2	4	4
1	 2	22	BA10228	hsa_miR_29b	0.304677067152241	-0.00247375935320715	-0.085562354000059	0.338935423321894	8.03978352754542	7.83984894245914	8.05634541347527	8.23491384656426	FALSE	FALSE	FALSE	FALSE	4	4	4	4
1	 2	23	BA10103	hsa_let_7c	-0.320737983219157	0.143035667631789	-0.295203556110744	0.675234837768009	8.79697539653675	8.62559627159196	8.8290531249077	8.86122198636676	FALSE	FALSE	FALSE	FALSE	4	4	4	4
